customer_id,name,dob,gender,phone,email,signup_date,country,customer_risk_level,avg_txn_amount
1,Donald Walker,1948-10-07,M,+1-581-896-0013x38908,shaneramirez@example.org,2021-10-05,Senegal,1,12.9
2,Gina Moore,1980-08-17,F,916-315-5940,smiller@example.net,2022-03-05,Niger,1,179.94
3,Michele Williams,1965-10-31,M,001-341-431-6475x25534,frankgray@example.net,2023-11-22,Portugal,2,54.36
4,Frederick Tate,1942-06-06,F,505.964.1395,pwilkerson@example.com,2025-07-21,Cambodia,1,38.01
5,Patrick Ryan,1993-02-15,M,001-365-432-8710,laurahenderson@example.org,2023-01-25,Hungary,1,449.94
6,Julie King,1936-05-18,M,+1-318-645-1462x70482,ericfarmer@example.net,2024-01-23,Zimbabwe,1,6.04
7,Linda Burns,1950-01-15,F,(443)903-9117x182,josephbrennan@example.com,2025-04-29,Croatia,1,31.36
8,Melissa Marquez,1989-02-13,M,+1-557-287-1331x50983,zimmermanbrian@example.org,2025-05-27,United Kingdom,1,300.73
9,Andrea Young,2000-11-18,M,582.399.7376,hopkinsmichael@example.com,2021-01-30,Lao People's Democratic Republic,2,52.46
10,Victoria Garcia,1989-08-12,M,001-551-333-3872x6247,jmorton@example.org,2021-04-11,Australia,2,907.72
11,Tracy House,1966-12-27,F,(267)873-6026,sara74@example.com,2025-05-31,Qatar,1,37.42
12,Katelyn Lee,1964-06-11,F,4982050097,yorkcasey@example.org,2025-07-17,Peru,1,98.99
13,Todd Hudson,1940-03-23,M,+1-816-499-8543x534,stephen10@example.com,2022-10-25,Nigeria,1,16697.46
14,Angel Lewis MD,1982-04-26,F,235-642-7849,mcmillandennis@example.org,2025-08-09,Tuvalu,4,3588.49
15,Brittney Campbell,1963-06-26,F,001-253-748-7401x640,danagreen@example.net,2021-09-22,Kenya,4,595.54
16,Kristina Rodriguez,1955-02-07,M,+1-605-798-2620,nolanjason@example.org,2025-07-05,Papua New Guinea,1,507.47
17,Justin Baxter,1955-11-07,M,622.460.2563,reyesbenjamin@example.com,2021-09-09,Cyprus,1,15.59
18,Julia Torres,1965-10-16,M,803.765.4145,wilsontara@example.org,2022-07-07,Mozambique,3,13.59
19,Kyle Reed,1977-07-04,F,(798)816-9340x60883,rushsamantha@example.net,2023-01-27,Germany,1,12.46
20,Elizabeth Parker,1990-05-26,Other,264-682-3662x99468,jason99@example.net,2021-11-16,Gibraltar,1,128.1
21,Michael Dixon,1957-11-29,F,+1-514-989-5134x33200,gibsonolivia@example.net,2024-10-08,Congo,2,463.13
22,David Douglas Jr.,1949-04-28,M,001-763-928-7083x17278,jrivas@example.com,2024-01-30,Ukraine,2,813.2
23,Karen Green,1968-06-19,M,+1-348-473-4714x3455,jessebenson@example.net,2022-03-03,Croatia,1,6.22
24,Gary Owens,1943-04-17,M,766.690.9670,acastaneda@example.net,2021-05-12,San Marino,1,758.08
25,Stephanie Freeman,1971-12-18,M,(270)365-6272x98069,dtaylor@example.org,2025-06-17,Australia,2,737.63
26,Daniel Murphy,1986-06-01,F,264-517-0805x310,maryhowell@example.org,2023-01-11,Brunei Darussalam,1,172.68
27,Kristy Robinson,1969-09-09,F,001-852-599-1241x90496,vargasmaria@example.org,2024-11-04,Bosnia and Herzegovina,2,2490.85
28,Lindsay Martinez,1940-05-28,M,(786)951-8506x716,ryangross@example.net,2023-05-19,Faroe Islands,1,186.44
29,Julie Petersen,1971-05-07,F,431-947-3799x65075,michaelgreen@example.com,2025-05-24,Turkmenistan,1,7.33
30,Kellie Lee,1967-08-31,M,001-567-683-7770x1436,thomas85@example.com,2023-03-02,Samoa,3,1713.93
31,Michael Nelson,1969-01-12,M,913.651.8233,tina34@example.org,2025-06-30,Guyana,1,23.37
32,Michael Martinez,1941-01-04,M,9849271094,dpeterson@example.com,2022-05-05,Wallis and Futuna,1,393.52
33,Austin Vasquez,1942-02-10,F,(529)841-3186,tkerr@example.net,2024-11-17,Japan,4,1002.67
34,Amy Choi,1948-04-27,M,001-933-641-2328x12067,halljasmine@example.net,2023-05-31,Tokelau,3,2121.04
35,David Baker,1961-09-27,F,(918)332-4210x24994,sbarker@example.com,2024-09-04,Western Sahara,3,3144.05
36,Katherine Miller,1940-03-29,M,(959)940-1399x04902,howard96@example.net,2023-02-17,Suriname,1,138.18
37,Julie Ortiz,1978-07-06,F,+1-712-356-7468x07154,ahancock@example.net,2024-12-30,Trinidad and Tobago,1,1044.69
38,Anthony Stone,2002-08-30,F,+1-570-434-8247x7109,andrea86@example.org,2025-06-06,Czech Republic,1,58.4
39,Bruce Collier,2002-08-24,M,001-548-446-7737x826,hillkristy@example.com,2021-10-12,Guam,1,48.26
40,Aaron Barber,2001-06-16,M,(978)775-5886,tinaallen@example.com,2025-02-18,Djibouti,4,233.72
41,Patrick Thornton,1986-09-14,Other,(227)402-8951x7187,jpitts@example.org,2024-04-23,Latvia,1,17.6
42,Michael Santos,1979-07-15,M,+1-386-357-8091x34316,tjackson@example.org,2023-01-26,Aruba,4,5286.48
43,Elaine Brooks,1954-08-18,M,886.592.2219,jdurham@example.org,2023-07-29,Kyrgyz Republic,1,13.87
44,Michael Nolan,1998-02-19,F,882-917-5946x4743,youngashley@example.net,2022-12-23,French Polynesia,2,25.46
45,Ronald Foster,1935-12-02,M,001-509-674-3953,courtneyberger@example.net,2023-04-30,Armenia,1,241.1
46,Amanda Diaz,1952-09-13,F,645-462-3285,robin74@example.net,2023-06-11,Trinidad and Tobago,1,62.06
47,Julie Jones,1965-07-10,F,+1-868-751-6048x17549,leonardthomas@example.net,2023-09-12,Turks and Caicos Islands,5,2593.21
48,Leonard Holland,1998-01-01,F,001-446-812-0047x113,vwatson@example.net,2025-08-04,Yemen,1,12.03
49,Patrick Moore,1991-04-14,F,+1-317-796-4053x7735,bruce43@example.org,2025-05-30,Yemen,1,1330.96
50,Daniel Fowler,1937-09-21,F,5535293183,kim90@example.com,2024-09-06,Togo,1,1299.75
51,Ms. Rebecca Rodriguez,1938-04-29,M,(205)439-5024,vfox@example.org,2022-01-17,Lebanon,1,2318.91
52,Kayla Rodriguez,2003-05-22,M,890.884.7007,henryrenee@example.org,2024-08-17,United Arab Emirates,1,499.89
53,Charles Martinez,1979-01-28,M,(998)547-8961x1836,dmorgan@example.com,2021-07-03,Israel,2,425.67
54,Erik Scott,1955-08-04,M,+1-771-311-1615x28098,qgomez@example.com,2021-08-16,Trinidad and Tobago,4,73.83
55,Lindsay Bell,2003-11-16,F,627.531.5851,xbruce@example.net,2021-04-02,Nicaragua,1,51.83
56,Timothy Gallegos,1971-03-20,F,8243455022,joycebonilla@example.org,2025-07-20,San Marino,3,699.68
57,Jason Peterson,1985-03-07,F,859-991-0229x0147,nperry@example.net,2025-04-30,Brazil,1,55.01
58,Douglas Gregory,2001-01-17,F,740.336.9003x43244,jimenezryan@example.org,2023-10-02,Hong Kong,3,171.91
59,Kathryn Whitaker,1983-01-07,F,860-860-7159,zroberts@example.org,2025-05-06,Greece,1,1095.26
60,Lisa Collier,1984-01-24,F,861-636-9681,jeffrey21@example.net,2022-04-11,North Macedonia,3,50.85
61,Cheyenne Parsons,1982-08-08,M,001-923-912-4329x2127,michelle52@example.com,2021-10-14,Bangladesh,2,240.45
62,Eric Hill,1942-06-18,F,(881)947-7005x411,colelisa@example.net,2024-10-20,Comoros,1,476.34
63,Kathryn Rosario,1996-02-18,F,451-782-0377,samantha66@example.com,2023-07-20,Philippines,1,138.0
64,Maria Jones,1947-09-05,M,+1-464-749-2519,tammy62@example.net,2021-04-05,Russian Federation,2,16.85
65,James Conner,1952-03-17,F,+1-581-468-5054x23573,chrisrichard@example.org,2021-07-15,Madagascar,2,39.72
66,Sophia Johnson,1980-08-25,F,001-592-996-2229x27065,karen73@example.net,2025-05-29,Dominican Republic,2,19.75
67,Rachel Mckee,1961-03-22,M,(497)674-6886x239,davidsonmorgan@example.net,2023-06-13,Vietnam,2,32.05
68,Kelli Martinez,1946-03-26,M,001-824-778-2613x75060,paulmiller@example.org,2021-09-08,Antarctica (the territory South of 60 deg S),1,130.82
69,Sara Santos,1954-09-11,F,(304)272-7790,jason28@example.net,2023-07-12,New Caledonia,4,2008.81
70,Ricardo Young,1951-05-27,F,2365971179,kellysmith@example.com,2025-04-21,Dominican Republic,2,101.94
71,Matthew Miller,1983-11-23,F,288-888-8067,jon05@example.org,2025-09-01,Guatemala,1,7.5
72,Lori Ingram,1980-01-27,M,(405)385-2772,mjohnson@example.org,2022-11-13,Somalia,1,93.84
73,Emily Collins,1989-01-05,Other,+1-674-303-4505,samuel67@example.com,2022-07-06,Guadeloupe,2,126.09
74,Jonathan Glass MD,1946-01-22,F,001-661-969-2845x1154,cjackson@example.com,2022-05-28,Kiribati,4,1556.94
75,Susan Mendez,1994-01-05,M,401-365-8202x970,kimberlydiaz@example.com,2021-03-05,Zambia,1,686.21
76,Christian Cole,1985-04-21,F,(271)492-8565x431,jholmes@example.org,2025-08-22,Estonia,1,53.25
77,Cindy Carr,2001-09-01,M,712.317.2715,patricia22@example.com,2023-01-11,Malawi,4,1270.75
78,Curtis Taylor,2002-01-19,Other,3583957829,raymond78@example.com,2022-09-21,Seychelles,2,4077.09
79,Angela Compton,1944-11-28,F,378.452.8922x680,fred53@example.com,2024-04-19,Yemen,1,701.36
80,Sarah King,1972-03-03,F,(449)481-8299,megan90@example.org,2025-03-25,Belgium,2,174.22
81,Patricia Baker,1963-07-05,F,001-396-290-7844x73647,scottwashington@example.org,2021-03-15,Guam,1,529.78
82,Nathan Gross,1981-10-27,F,(425)388-1537x1473,robertspatrick@example.net,2022-01-14,Italy,3,82.58
83,Stephanie Li,1977-05-18,F,327.887.7470,nlevy@example.net,2022-12-05,Guinea,1,1412.16
84,Johnny Khan,1998-11-11,F,580-716-2456x5060,charles87@example.net,2021-03-25,Fiji,2,160.64
85,Brent Brooks,1980-12-19,M,+1-252-239-8680,jenniferbrock@example.net,2021-10-29,Korea,3,30.06
86,Kaylee Murphy,1978-03-03,M,(969)649-5888,xcabrera@example.com,2022-01-30,Peru,1,6.3
87,Lauren Robles,1938-06-11,F,+1-874-499-3097x289,anthonyvaughan@example.org,2021-09-30,Comoros,1,3.71
88,Jason Gutierrez,1962-07-26,M,(489)970-2838x57865,amy49@example.com,2020-12-22,Congo,1,193.13
89,Edwin David,1975-04-28,F,001-843-775-7584x41986,kellyroberts@example.net,2022-11-29,Belgium,3,48.47
90,Mary Burgess,1963-12-10,M,584.584.2199,santiagoamanda@example.net,2023-10-06,Djibouti,2,85.54
91,Gary Kennedy,1953-07-11,F,6822677345,pearsonjesse@example.net,2021-04-06,Saint Kitts and Nevis,2,12919.0
